tweet	subtask_b
washingtonpost broke the story therapist notes miss ford stated four men assaulted her  now its two votedemsout to end dirtytricks stop whats wrong with dc kavanaugh maga foxnews liar cnn msnbc senflake wrong to use metoo for politics christineblaseyford url	TIN
 shes tragic because she is an idiot and because she had tremendous internalized misogyny i think of the moment we are in the grips of as the tyranny of the halfidiot	TIN
 do it with quran and then we will see how much atheist and brave she is hindus figured it out that this type of attention grabbing big boss wanna be people are not worth it go live in your  minutes prime time covered life  lord krishna and his followers dont care	TIN
 he is the absolute worse period that is all	TIN
 dear andrew i saw the endorsement by cory booker the both of you are made for each other secondly youre view are so far left since you and cory both hate the president secondly youre a moron running against rick scott i hope get beat so bad	TIN
 innocent people dont resign we know liberals love sexual predators that is why you are ok with keith ellison assulting several women with police reports to support it	TIN
 omg thats fucking crazy	TIN
 but sis paul mccartney loves venezuelas dictator irans leader syrian president putin and other leaders who rule with terror he only has bad things to say about our beloved president donald j trump go figure 	TIN
 good movehe is the big loser	TIN
 blame trump u bunch of idiots blame the corruption over in pr	TIN
 eric holder a major embarrassment to law enforcement you did nothing about those innocent black males killed in those streets one sorry black brother	TIN
 hollywood is full of demonic democrats	TIN
 the truth for the gun controlantia url	TIN
 whats your point you are so clearly ignorant about the nature of sexual assault	TIN
 saul does not suffer fools and he is impatient with people who are too lazy to read and learn	TIN
 maybe because youve provided a play form for hate groups with no criticism or criticismlite while bashing antifa with zero analysis	TIN
 you should be fired you are dead to the public for your fake news why dont you show him approaching the crowd scared  if you cant stand the fire get out of the kitchen	TIN
 quite possible you are very right to be skeptical but one has to start somewhere 	TIN
 they thought she would win so they could implement the last part of their plan to use the guillotines from china and blades from mexico maga lockthemallup confirmkavanaugh wwgwga patriotsunited godblessamerica godblesstheworld godblessourmilitary thmonkey	TIN
 yet another really stupid take by erick he is a single issue thinkeroverturning roe anything that gets in the way of that is to be mocked and trivialized he has no other core beliefs	TIN
 you are being unkind to the pin	TIN
 also shes thick as shit despite her posh brainy voice on qt when the refugee crisis was at its peakshe said they should come in because there may be surgeons amp dentists amongst themfecking leftie lunaticscruffbag	TIN
 democrats gun control and mass shootings data determined to be fraudulent democrats are liars once again url	TIN
 hillary was blaming women not too long ago better hope the uneducated dont show up to vote again it isnt so much that liberals are ignorant its just that they know so many things that arent so	TIN
 its like saying the brown shirts afe better than nazis because they pretended to be socialists	TIN
 but but but we need more gun control right oh wait guess that doesnt stop criminals only law abiding citizens which is known so think on why they want to control you and disarm you	TIN
 what do you expect from the likes of eric erickson  he is a piece of crap	TIN
 haha you liberals are so desperate its hilarious trying at all ends to set him up this bs last minute stalling tactic about the alleged hs incident and the bait of emails that were sent to him and people wonder how trump won because theyre tired of democrats and their crap	TIN
 crazy freaking liberals	TIN
 right politics has no place in anyones reproductive organs or their sex lives	TIN
 lol another illegal antifa girl	TIN
 bono is utterly stupid ridiculous wealthy tax avoiding hypocrite fascist i cant listen to u again	TIN
 she probably did not think it would get this far i hope the little sleaze does not go to the hearing and i hope if she does that they will prove what a liar conniving witch she and the rest of the liberals are	TIN
 thats a people chicago hell gun control works in their town	TIN
 she is one of satans daughters	TIN
 comey has pissed on the us constitutionhe is a rat and needs to go away or face consequences	TIN
 is gross	TIN
 she is by far the most pretentious little tryhard housemate in there this year so cringeworthy bbuk	TIN
 we all know this is another liberals corruption	TIN
 pm is looking like the extra in the tory version of saw  who suddenly realised that she must cut off her own limbs to surviveif she escapes that particular nightmare she is still a politically deceased pm its impossible to appease mukga tories that dont want a compromise url	TIN
a bitch built like that could beat my ass all she wants url	TIN
 thats all antifa does theyre violent and they hide but you obviously support them 	TIN
 brennan is a disgracewithout a clearance 	TIN
 he hit the lotto	TIN
 she is not an anti trump shes a racist race baiter who is no better than alex jones and other crazies	TIN
 chelsea is as crazy as her mother	TIN
 right im stopping replying to anymore of your nonsense but going to keep following you to warm others of your dangerous take on society  you pal are the biggest fake going and been proved and just like all the rest of antifa are bloody dangerous	TIN
 he had  offer since june the shitty browns thats it stop thinking he is still good you are living in the past	TIN
 rates claim that the safe act is the nations toughest gun control law mostly false url	TIN
 finally holy shit you are finally reading the goat	TIN
 ask the liberals who have seemingly forgotten that youre a war criminal	TIN
 another typical liberal who espouses gun control but uses hate and bullying	TIN
 my coworker has a sick ass one for work	TIN
 democrats cut funding cia goes around it thats how its done conservatives who play by the rules will get fucked up every time url	TIN
 you have a dick damn didnt know bhadbhabie was actually a bhadtranny	TIN
 bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious	TIN
presumably you think liberals are as trivial as women and their complaining you wonder why dr ford does not want to surrender herself to such a harrowing experience before you all 	TIN
 dont usually do twitterconversationsbut my point was dana may be kind of woman who doesnt want to help other womanwants to be the prima donna amp so doesnt care about developing nextgen girlsshe is against gun control amp isnt bothered by school shootingsmust not like kids	TIN
 get your shit together	TIN
 he is still eating and talking about psy on carter v trust me	TIN
 he is lol 	TIN
 because you are 	TIN
 we have been saved from you maga	TIN
 gotta give him credit where its due he may not be a mason but he is out there competing his ass off	TIN
 he is a cancer though suspended for like  years and then is late to practice when hes able to play again can you blame them for cutting him when they suck anyways	TIN
 do really even care what comes out the his foolish and annoying mouth go home david and let the adults maga	TIN
 we are calling you an operative  or shill and more important a bigot for refusing to apologize for your actions to a woman just because she is not a scientologist you wont even acknowledge what you did or defend or explain it despite how many times it has been asked already	TIN
 because he didnt do any think sorry that not true you and obama screw the american people when ever you could	TIN
 she is a lost soul who has to follow the party line i also believe she has sold her soul for the lousy pieces of silver from the guidance of her horrible mother	TIN
maga christineford trump tcot ccot americafirst patriots brettkavanaugh had this to say about bill clinton during whitewater its imperative to make his pattern of revolting behavior clear  piece by painful piece indeed url	TIN
wednesdaywisdom obama appointed liberal judges tired of looking stupid smacks california law down on gun control a url	TIN
 probably have their violent liberal antifa in full force showing us just how much they really care about any humans nope ill never fall for their fake sympathy garbage as long as they pay to have strangers beat to a pulp by kkk hooded thugs never	TIN
 likenoother gamestopcontest laura croft is great because she is a badass	TIN
 in a country where people openly abuse ramkrishnatearing geeta is no braveryreal bravery would have been if she had done this with books belonging to other religionsbut then she is as big a coward as you are	TIN
 sorry to say but you are ignorant and should not tweet something without some research some of the ones that were arrested were seniors they are all people that care enough about what is happening to go out to have their voices heard	TIN
trumpism is going so well you along with all your liberal friends felt the need to try to trash it people arent stupid as you suppose redwaverising maga amp kag url	TIN
 expose these demons violating our constitution with violence amp threats to run govt instead of winning at the polls name them domestic terrorists amp jail them all	TIN
 she is a vile rat of a woman	TIN
 i saw it but mirosoft sucks at translations	TIN
 you are a fool denying ones free speech is deny all of our free speech	TIN
 fails to realize he is the party of and antifa a complete lack of self awareness these people are dangerous enemyofthepeople	TIN
 yes you are right not only lefties but neo liberals having any trouble this papers have proper journalistic ethics  its funny  and magyar nemzet or npszabadsg had highest circulation  its also funny only in the communistic past before   url	TIN
 god he is terrible	TIN
 for a moment i thought you were about deaths sounded fucked up sick at first	TIN
 what a joke another dirty tricks democrat on the george soros payroll the democrat party knows no shame maga	TIN
 you are a disgrace	TIN
 followed most patriots already and got the rest appreciate a follow back maga 	TIN
 yes but it doesnt help with the made up stories about him he shouldnt of called football players sob but he is right about illegal immigration we cant support the entire nation rules needs to change	TIN
 i know a whole lotta people spitting a whole lot of bullshit right now idk if youll ever see this but i pray you feel no way responsible for what happened today you have already been through so damn much just know that you are good you are great i love you	TIN
 eminem may be an angry old man yelling about young people but i just really wouldnt care unless he would be dressed as a roblox character while rapping	TIN
 only people that own guns get a say on what to do about gun control	TIN
 the metoo movement is just an extension of the democrats kkk amp the hate group antifa its just another form of lynching those who oppose their agenda metoo people jump on ban wagons in the name of justice to perpetuate mass bullying of those who threaten to expose them	TIN
 i think donald trump is a disgusting disgraceful pig  shame on him thinking that he did so much for puerto rico  he failed us  and he is a failure as a so called president  he did nothing but talk bad about puerto ricans he doesnt understand that pr is usa territoryjerkoff	TIN
 this is fun i asked him for proof and he blocked me i was about to joke about how hed go from the antifa are the real nazis to similar altshite talking points boy that sure was providing proof quickly	TIN
 david stop it with your logical connections true journalists like you are not in vogue	TIN
 and with right wingers its about white supremacy and neo naziism  right	TIN
 he is a total phony	TIN
 liberals gag	TIN
 eric holder should be in prison 	TIN
 shes a liberal professor dog always spewing her hatred against us conservatives youre going to hell with the rest of the sleaze bags	TIN
 ben is a terrible person that probably raped some people he is a vial human being in my book has nothing to do with his on the field play i dont like him personally	TIN
 vote cruz beto is part of the deep state that will turn control back over to the corrupted liberals	TIN
 see his profile thinks he is hardcore boi 	TIN
 how many gun control measures did republicans shoot down in the house or senate during obamas terms hint its in the triple digits bordering states with weak gun laws wi amp in make it easy for gangs to get guns into illinois	TIN
 this is great mark the great one levin and candace the great owens together this team is unbeatable they just sent liberals into a frenzy again a whole block of liberal voters just had their heads explode andsadly alyssa milano just wet her pants again great team	TIN
 is he crazy where is ss detail how are they making sure some crazy liberal with a gun doesnt show up	TIN
 she says she wakes up from sleep thinkin she is gonna get trump she needs a psychiatrist asap	TIN
 nigga were going next week	TIN
maga are perverts and demonsperiod nothing is sacred or innocent with these mutts of satan url	TIN
 we do know she belongs to the violent liberal antifa party who w their kkk hoods beat up total strangers amp are funded to do so by her party most violent amp corrupt party trying to now pour on the tears amp get us to believe they have a heart hard sell to anyone including voters	TIN
 poor baby this is why you and your entire network can not be trusted the only people still watching cnn are brainwashed liberals and demonrats url	TIN
 shortys dad taught him eveything about pussygrabbing sexual assault trump family time maga girls have to stay silent url	TIN
 liars like the antifa twins you vigorously defend	TIN
 liberals act out of emotion not understanding the law then they go around condemning every who does not agree with their completely fucked rational nobody believed women for  years so lets believe all women oh and screw the legal system men are pigs hes guilty smh	TIN
 he just doesnt fit the team now agholor should stay in the slot because thats where he is successful jmatt is not an outside threat	TIN
 gotta keep that gun control law to get those terrorists	TIN
 what the fuck	TIN
 another illegal	TIN
 she is demented	TIN
 she will be remembered as the witch that used her genitalia to make a false claim against a good man bc she is a diehard democrat that hates republicans so much she is willing to ruin a good mans name all in the name of power democrats are crying wolf way too many	TIN
 gonna boo his ass regardless now	TIN
 master of none was so fucking good	TIN
 fat ass liar strikes again neverforget	TIN
 yes comie communist pun intended we do and will emerge stronger when u amp all ur cronies are put to death at gitmo we the people will indeed be stronger maga draintheswamp	TIN
 destroy america is more the  chant from all democrats including hillary	TIN
 you are a disgrace go home you are not the president anymore you are breaking tradition of the former president stepping aside this is no longer obamas country this country belongs to we the people not your sheeple maga 	TIN
 carrey should be shut up for good	TIN
 she is a liar  doesnt even remember all  says it right there 	TIN
 i knew he will b dead  he is brave 	TIN
 hillary clinton will be potusoops	TIN
 looks like the jokes on liberals again forttrump poland boomingeconomy url	TIN
 ya obama on trade years ago trump is just not telling the truth how stupid could our leaders be trump god bless trump maga kag  full linktrumps answer url	TIN
 how is paying taxes optional tax evasion is a crime we have human rights laws and the a your opinion on this issue is preposterous gilliam is not anti a sensible gun control that would prevent mentally ill people like you from owning a gun is all we want	TIN
 i guess all of those old white guys do kinda look alike 	TIN
 just saw your algae commercial blaming thats pretty rich considering you are the gov and have done zero zip and now you want to be senator of fl	TIN
 well he is really really smart and nothing woodward wrote in is book is true good lord this is the shit we see it and hear it everyday all day did we really need a oped or a book	TIN
 how he is still batting	TIN
 he probably had sex twice for boruto and the other sister that no one cares about	TIN
 now just vote him out he is a known racist	TIN
  hypocrisy to see so called conservatives call out supposed sexual deviancy when just about every sexual political scandal in recent memory involves republicans and its really homophobia roymoore kavanaugh jimjordan markfoley bobpackwood clarencethomas donaldtrump	TIN
are all the republiklan maga wearing traitors going to dig through their childhood toy chest just to post videos of burning ernie amp bert dolls ernieandbert sesamestreet toad mariokart traitortrump traitortoad	TIN
 maybe kavanaugh should withdraw spare country tinderbox hearing ttt url what are you afraid of  he is going to be on the court and the gop is going to expand their majorities you are pissing on a red ant hill	TIN
 start by not tweeting pussy ass shit	TIN
 i swear to god  this shit is too real man	TIN
 you know youre a racist monkey huh im sure you know what you are a piece of trash i never hear these pieces of horse shit speak the truth only their racist lies bitch boy its about the racist cops killing unarmed black and brown people thats the fact ass clown	TIN
 are you saying theyll become another victim of the clintons	TIN
 what do u expect from vile violent lying disgusting liberals	TIN
 damn catholics	TIN
 you make no sense antifa is a cutdown word for antifascist nazis are hitler fascists by definition many socalled rightwingers tend to fascist views trump does just listen to him the socalled left is far from fascist	TIN
 all liberals are devils all of us ask any repub we hold hands to stand together to know we arent alone in this fight for civility and decency call us all the names you want it doesnt matter one bit	TIN
 colin cowherd is a clown just when you think hes going to make a point he just spews out garbage there is no way you look at both goff and trubisky and say goff has the higher ceiling maybe the higher floor but only bc he is in yr  of mcvays offense	TIN
 idc if you suck i just wanna have fuuun	TIN
 even pedophiles in interviews will tell you the only way to stop them is to kill them pedophiles even admit to when out of prison they will offend again and thats what keeps them alive in prison the hope of another opportunity to molest an innocent child they are sick fcks	TIN
 i can understand her wanting her title but all that whining and pissing and moaning stop talking and start getting it done enough already youre a coward when you got to beat somebody when theyre not looking	TIN
 you are a disgrace	TIN
 the tweets show how demented liberals have become they have zero credibility	TIN
 yeah he had to go back to the faerie world to handle shit there	TIN
 here is the problem with the leftthey cant have an intelligent debate on an issue want to prove a point have norm on and question him about his comments and have points to counter his comments instead the left just silenced him shows their lack of intellegence	TIN
 i think michelle spilled democrats plans for civil war liberals are lunatics	TIN
 do i care pe hope they fold like a cheap table wonder what the spoiled primadonnas do when their huge salaries cant be made bet it wont be bailed out like gm amp too big to fail banks were	TIN
 fuckkk  i know i seen bitch thats a slapper lmao	TIN
im smarter than he is i would be fine he can punch me all he wants and it wouldnt work and by the way this wealthy new yorker actually earned his money it wasnt a gift from daddy jamie dimon  jpm	TIN
 lol read the title and you already know whats coming who support common sense solutions to reducing gun violence how is gun violence different from other violence what is a nonautomatic firearm what is common sense gun control is it like chicago ny london	TIN
 he is losing his mind	TIN
 dont talk shit about  laws	TIN
 i think he could be called a turncoat talking out of both sides of his fucking mouth lindsey graham can no longer be trusted url	TIN
 i see its a damn shame how delusional he is hes gotta be the worst even more than those boston ben stans	TIN
 there should be a serious fbi investigation into this womans motives behind this political hit job this kind of shit is never done to anyone other than conservatives such bullshit	TIN
 little known fact balaam raced donkeys and gambled on races one day his fastest ass was winning the jerusalem sweepstakes and right before the finish the ass lost control running over a samaritan and two africans  local antifa saw the whole thing and blamed the fastest ass	TIN
 mmm you are so hot	TIN
 i love yo cute ass	TIN
 omg what a disaster that would be she is the most incompetent person	TIN
 oh boo you sound so ignorant with your words we are on top all of america is on top now how about stop resisting and try to help make our nation the best for everyone not just liberals wake up and walk away	TIN
 wtf she is one i did say i hope trumps doc rots off but nobody noticed oh yah i tagged him too i better tone down the dick falling off it will happen soon enough	TIN
 yes thats why you need to bring in gun control even better you shoot yourself in the foot real well im going to harass a school shooting survivor ass 	TIN
 let the leftist democrats riot in the streets with their antifa counterparts	TIN
 the nose distracts from the news	TIN
 lmaooo fucking love you see you hotties soon xox	TIN
 what the hell are you talking about the only threats are coming from gun control nuts made against her kids	TIN
 he spelled big dick wrong	TIN
 i have to be a smart ass some way 	TIN
 because he is a traitor	TIN
 she is too busy patting her hair to realize her tweets are comical but in a stupid kind of way	TIN
 you are a liar ed you have always been a liar the people in puerto rico lives in squalor govt officials hid supplies sent miss reported death toll due to hurricane stop lying	TIN
 who in america isnt grateful to our military her husband didnt die on the battle fieldhe died at home she should be fighting for gun control and stronger laws regarding mental illness is about police brutalityshe should educate herself on the issues	TIN
 why plenty of people have taken a stance in favor of common sense gun control and it doesnt mean jack shit since they dont have a plan for common sense gun control would it really help to have the asb and asa also spouting empty buzzwords	TIN
 perhaps the myers house wynn runs smithsgrove and hes the leader of the thorn cult i used to think he was my friend until he revealed his true intentions he is a madman	TIN
 so yall are gonna fight against gun control but yall laughing at this guy literally pulling out a gun and shooting it	TIN
 where is the gun control crowd now that illegal immigrants are waltzing into our country heavily armed	TIN
 trump is done you are a antiameican protrump azz	TIN
 ummm you cant hear what she hears because youre not bat poop crazy like she is	TIN
 phooey it wasnt about stepping forward it was about helping wield a crude sharp axe on the uks poor and vulnerable he is a total hypocrite and fraud in a stupid affected style hat	TIN
 why did the democrats have to jam far left liberal judges down conservatives throat every liberal judge should be investigated all the way back to grade school the only lowlife here is you	TIN
 you are sick in the head this man lost his daughter	TIN
 hubby rushed me shakes fist will flick a pic thru this evening when i feed em again by the way he is still the boss	TIN
 tell this idiot to try with other religion book her height will b reduced  inch from top before amrinder reaches her to arrest she is sick she needs treatment and she is alive becoz she hindu dont blabber non sense	TIN
 hes been trashing all along even to our allies	TIN
 the fact that newsweek no longer tries to give both sides of the story but instead only gives the side of antifa far left liberals and their gods in the deepstatepanic take a look at newsweeks circulation they dont even have enough readers to put out a print edition anymore	TIN
 you do realize how ridiculously radical all these tweets sound right who are you trying to mobilize antifa	TIN
 this is so fake hes unable to feel true feelings he even lies when he says anything and she is just as stupid in standing by a man who clearly doesnt respect the unity of marriage while he was with her and pay these women off stand up divorce like his other wifes did hes a pig	TIN
 until he is dead because even after he is out of office he will likely command the news cycle for a long time	TIN
 yep bc not agreeing with forcing adult memes and choices on individuals not developed enough to comprehend them means i am homophobic	TIN
 good luck with that i dont follow along with fascists like the resist movement and their apple and google overlords i know what happened in ww and its the rhetoric they use that put us there i dont need a god to see the hate spewed from antifa and how that is wrong	TIN
 your pappy is a big fat fool the democrats doesnt have to make him look bad he makes himself look just what he is an ignorant th level fool	TIN
 gun control    means being to hit what your aiming at these elderly homeowner have great gun control	TIN
 according the gore hurricane hazel in  was trumps fault and all the typhoons cyclones and hurricanes are all trumps fault and trump colluded with god to defeat hillary all true	TIN
 believe all women even those who cant even offer any specific details these other women are liars i know liberals are hypocrites but try to stay consistent through at least one event	TIN
 after seeing the contents of the post i for one are pleased with the legislation we have in regard of gun control on the other hand legislation does need to be improved to support mental aid to this individual he has to be sectioned	TIN
 he is seething you can see it in his eyes and hear it in his voice obama was a failed president in every sense of the word maga kag 	TIN
 no you wouldnt sis i know damn well you would probably call it cute people propose in concerts all the time yet when its a gay couple its wrong youre at a fucking concert you dont have to pay attention	TIN
 bret maybe youre just running away because you pretended to be an expert and got pounded into submission by a girl all you did was assume and demand proof i provided you provided your say so in terms of debating you lost have a nice day	TIN
 anarchists are left wing extremists they stand with antifa	TIN
 except he is his administration has allowed crime in the city to skyrocket you bloody leftist snake	TIN
 any time liberals think their going to get a win they tune into their head cheerleader then they realize the latest bombshell is once again nothing and go back to their miserable existence eating chunky monkey not racist and watching netflix	TIN
 whereas you are almost a year late in trying to demonstrate you give a toss about womens rights  needs under the law you are a disgrace  an embarrassment to keele  the legal profession alex prioritising the rights of sexual predators over their victims damages us gt url	TIN
 tbere arent hardly any conservatives left in california perhaps the threats are just unintelligible robo calls by antifa comrades jacked up on starbucks and lucky charms	TIN
 another insane o appointees amounting to nut n jwb the next one could be real famous formerfirst black president or former first black lady just sayn itand freedom of speech r my am o	TIN
 over  years worth of background checks under different presidents and this one slipped through kavanaughconfirmation kavanaughwithdraw kavanaughscotus maga	TIN
 if anything wouldnt that be a state law hes running for federal office thinks texans are moronsabout this and illegally claiming to be a government office and sending out summons for money maga texans	TIN
  of  vote her butt right out of office dianefeinstein is part of the problem in america not part of the solution her old ideas and clarencethomas tricks will not work this time votered kag confirmkavanaugh confirmcoachk maga	TIN
 i cant believe he didnt work in comet pizza now that alex jones is muted these conservatives are so lost	TIN
interrupting his hearing at every turn but thats ok he is a man and can take it at least he will remember who what when and where he was after this kavanaugh will have definitely earned his stripes to scotus maga	TIN
 booo hooo hoo who raised these spoiled brats 	TIN
 this russian agent is a disgrace hey old creep you are going to die in prison you and trump sold america to the russians and its time you do the time for your years of crimes scumbag	TIN
 all he is missing are the inmate number	TIN
 glad i wear wranglers so what gun control would you propose that will stop the criminals	TIN
 funny because he is a dildo	TIN
 sorry but bloodsuckers are bad almost as bad as elves like you are dating an undead monster who cant be controlled and even if they can be controlled youll die before her and make her have mental issues	TIN
 feinstein and schumer are political assassins thank heavens that has been able to give a few in the gop courage to not fold this far conservatives need to hit back hard on these political criminals	TIN
 northern ireland was explicitly designed so the british establishment could stop paying attention to ireland theyve been indifferent since 	TIN
 but the orange preferred to send the hospital boat away and now she is standing empty it could have saved many people fuck	TIN
 and i you ya sexy lady you 	TIN
 what the fuck was that dildo rider antifa fuck going on about	TIN
 snowflakes are liberals	TIN
 fuck those terrorists in the ass	TIN
 poorly worded but hes not talking about the actual shooting he means the aftermath with the gun control aspect	TIN
 he is awful and so smug	TIN
 ill go to the original argument that people shouldnt blanket everyone together terrorists  all muslims altright  all conservatives both of these are equally dumb requiring specific groups to denounce their fringes means that the general populace cant differentiate	TIN
am still a crowd at queens park protesting the conservatives middle of the night power grab shame on the conservatives what kind of party creates chaos during an election rather than working with their citizens to create a healthy economy onpoli	TIN
 fuck my bad leslie i def added you tho  lmao im give it to ypu now	TIN
 could anyone expect anything less from a fool like j rubin incompetent hair on fire libs cost people their lives and blame it pres trump	TIN
 tweet is directed at him i can care less about whatever it is he is blathering about	TIN
 you liberals smhtweeting stupid shit trump order elimination of isis obama didntpeople think about how people r not murder now saved because we hav killed of isis	TIN
 ive been asking myself the same question and its because he is such a phony if he is such a fan of cleveland why is and he still playing for the cavaliers the pos hes trying to save face with the fanbase and its so obvious that is his fakeness but stupid people will buy in	TIN
 this is what conservatives think a genius looks like lmao	TIN
 would help them but he is in his own sunken place to the rescue  url	TIN
 antifa needs a good ole boy ass beating	TIN
 hell fuckin yea	TIN
 when will they learn people dont care about what they think about politics just read your lines and entertain us keep your stupid pins and fake tattoos and ribbons at home maga emmys	TIN
 buckle up democrats and liberals the shit is about to hit the fan for you and the fbidoj 	TIN
 mmmhm i heard you from down the street gave me a few extra seconds to get my shit together	TIN
 he is an evil godless man	TIN
 you are pathetic this has nothing to do with him his dad or the wall or mexico this is about swallwell thinking its ok for liberals to threaten repubs but not the other away around	TIN
